filename,name_bn,zillaID,constituencyID,income,tax,wealth,party,district
"36,80,মাহমুদ হাসান খান.txt",মাহমুদ হাসান খান,36,80,48377626.0,9440673.0,832023433.0,BNP,Chuadanga
"37,81,মোঃ আসাদুজ্জামান.txt",মোঃ আসাদুজ্জামান,37,81,9480587.0,2763139.0,119359333.0,BNP,Jhenaidah
"38,87,অনিন্দ্য ইসলাম অমিত.txt",অনিন্দ্য ইসলাম অমিত,38,87,9291997.0,2419868.0,90147086.0,BNP,Jessore
"40,93,আসজাদুর রহমান.txt",আসজাদুর রহমান,40,93,7021680.0,1838654.0,40748463.0,Independent,Narail
"41,96,এম, এ, সালাম.txt",এম এ সালাম,41,96,1732822.0,,260269808.0,Independent,Bagerhat
"42,100,শেখ জাহাঙ্গীর হুসাইন হেলাল.txt",শেখ জাহাঙ্গীর হুসাইন হেলাল,42,100,618734.0,40941.0,5190910.0,Jamaat,Khulna
"43,106,মোঃ আব্দুর রউফ.txt",মোঃ আব্দুর রউফ,43,106,2156333.0,312492.0,48618944.0,BNP,Satkhira
"44,134,মোঃ মোজাম্মেল হক.txt",মোঃ মোজাম্মেল হক,44,134,,342349.0,62307732.0,JaPa,Tangail
"45,141,মোঃ ফরিদুল কবীর তালুকদার.txt",মোঃ ফরিদুল কবীর তালুকদার,45,141,1532649.0,141530.0,15135563.0,BNP,Jamalpur
"46,143,মোঃ মাহমুদুল হক মনি.txt",মোঃ মাহমুদুল হক মনি,46,143,,187500.0,22158270.0,JaPa,Sherpur
"47,153,লুৎফুল্লাহেল মাজেদ.txt",লুৎফুল্লাহেল মাজেদ,47,153,42847698.0,6724191.0,219432069.0,BNP,Mymensingh
"48,158,মোঃ আনোয়ারুল হক.txt",মোঃ আনোয়ারুল হক,48,158,3454331.0,621083.0,22980634.0,BNP,Netrokona
"49,167,মোঃ শরীফুল আলম.txt",মোঃ শরীফুল আলম,49,167,6790294.0,1928572.0,73525384.0,BNP,Kishoreganj
"50,170,আফরোজা খানম.txt",আফরোজা খানম,50,170,,,282495205.0,BNP,Manikganj
"51,171,মোঃ  আব্দুল্লাহ্.txt",মোঃ  আব্দুল্লাহ্,51,171,22460185.0,8193972.0,425111112.0,BNP,Munshiganj
"52,194,মোঃ মজিবুর রহমান.txt",মোঃ মজিবুর রহমান,52,194,4751073.0,1278969.0,249498772.0,BNP,Gazipur
"53,201,মোঃ আরিফ-উল-ইসলাম মৃধা.txt",মোঃ আরিফ-উল-ইসলাম মৃধা,53,201,410000.0,3000.0,1982650.0,Independent,Narsingdi
"54,206,আজহারুল ইসলাম মান্নান.txt",আজহারুল ইসলাম মান্নান,54,206,3012057.0,823727.0,146817111.0,BNP,Narayanganj
"55,180,হামিদুর রহমান.txt",হামিদুর রহমান,55,180,4206236.0,909558.0,76648651.0,BNP,Dhaka
"56,216,কে এম বাবর.txt",কে এম বাবর,56,216,1188509.0,60121.0,4973111.0,BNP,Gopalganj
"57,218,কামাল জামান মোল্লা.txt",কামাল জামান মোল্লা,57,218,404652.0,,68956327.0,Independent,Madaripur
"59,210,মোঃ হারুন-অর-রশিদ.txt",মোঃ হারুন-অর-রশিদ,59,210,450000.0,5000.0,12559815.0,BNP,Rajbari
"60,211,মোহাম্মদ আরিফুর রহমান.txt",মোহাম্মদ আরিফুর রহমান,60,211,1175821.0,103732.0,89504243.0,Independent,Faridpur
"61,228,মোঃ মিজানুর রহমান চৌধুরী.txt",মোঃ মিজানুর রহমান চৌধুরী,61,228,3210354.0,1772106.0,150447471.0,Independent,Sunamganj
"62,229,খন্দকার আবদুল মুক্তাদীর.txt",খন্দকার আবদুল মুক্তাদীর,62,229,3421922.0,735731.0,113293784.0,BNP,Sylhet
"63,235,নাসির উদ্দিন আহমেদ.txt",নাসির উদ্দিন আহমেদ,63,235,11772466.0,846638.0,65509496.0,BNP,Moulvibazar
"64,239,রেজা কিবরিয়া.txt",রেজা কিবরিয়া,64,239,5958500.0,16335.0,75130837.0,BNP,Habiganj
