seat,BAKSAL,BJP,CPB,Ganatantri Party,Islami Oikya Jote,JP (Manju),JSD (Rab),JSD (Siraj),JaPa,Jamaat,Krishak Sramik Janata League,LDP,NAP (Muzaffar),NDP,Workers Party,total,party
Pirojpur-3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,"BAKSAL, JaPa"
Rajbari-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Rajshahi-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,Workers Party
Rajshahi-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Rangpur-1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Rangpur-2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Rangpur-3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,JaPa
Rangpur-4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Rangpur-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Rangpur-6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Satkhira-1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,Jamaat
Satkhira-2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,4,"JaPa, Jamaat"
Satkhira-3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,Jamaat
Satkhira-4,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,"BJP, JaPa"
Shariatpur-3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,BAKSAL
Sherpur-1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Sunamganj-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CPB
Sunamganj-2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,"Ganatantri Party, JaPa"
Sunamganj-4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Sunamganj-5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Sylhet-2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Sylhet-3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Sylhet-5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,"Islami Oikya Jote, Jamaat"
Sylhet-6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
Tangail-4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,JSD (Siraj)
Tangail-5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,JaPa
Tangail-8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Krishak Sramik Janata League
Thakurgaon-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CPB
Thakurgaon-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,JaPa
